SampleID,Target [1 for A->B; -1 otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train1,1,1
train2,-1,2
train3,1,1
train4,0,3
train5,-1,2
train6,1,1
train7,-1,2
train8,0,4
train9,0,4
train10,0,4
train11,0,4
train12,-1,2
train13,0,4
train14,0,3
train15,0,4
train16,-1,2
train17,-1,2
train18,0,4
train19,0,4
train20,1,1
train21,0,3
train22,1,1
train23,1,1
train24,1,1
train25,1,1
train26,-1,2
train27,0,3
train28,1,1
train29,0,3
train30,0,3
train31,0,3
train32,0,4
train33,-1,2
train34,1,1
train35,0,4
train36,0,3
train37,1,1
train38,1,1
train39,0,3
train40,0,3
train41,-1,2
train42,0,3
train43,1,1
train44,-1,2
train45,1,1
train46,0,3
train47,1,1
train48,0,4
train49,-1,2
train50,-1,2
train51,-1,2
train52,0,4
train53,1,1
train54,1,1
train55,0,3
train56,-1,2
train57,0,3
train58,-1,2
train59,0,4
train60,-1,2
train61,0,4
train62,0,3
train63,0,4
train64,0,4
train65,1,1
train66,1,1
train67,0,3
train68,0,3
train69,1,1
train70,0,4
train71,-1,2
train72,-1,2
train73,1,1
train74,1,1
train75,0,4
train76,0,3
train77,0,3
train78,0,3
train79,1,1
train80,0,4
train81,1,1
train82,0,3
train83,0,4
train84,0,3
train85,0,4
train86,0,3
train87,-1,2
train88,0,4
train89,-1,2
train90,0,3
train91,1,1
train92,0,4
train93,1,1
train94,0,3
train95,0,3
train96,0,4
train97,0,4
train98,-1,2
train99,0,3
train100,0,3
train101,0,3
train102,-1,2
train103,0,4
train104,0,4
train105,0,3
train106,1,1
train107,0,4
train108,-1,2
train109,0,4
train110,-1,2
train111,1,1
train112,-1,2
train113,-1,2
train114,0,4
train115,1,1
train116,1,1
train117,0,4
train118,0,4
train119,-1,2
train120,-1,2
train121,1,1
train122,0,4
train123,-1,2
train124,0,3
train125,1,1
train126,-1,2
train127,1,1
train128,-1,2
train129,0,4
train130,0,3
train131,0,4
train132,-1,2
train133,1,1
train134,0,4
train135,0,4
train136,0,4
train137,-1,2
train138,-1,2
train139,0,4
train140,-1,2
train141,1,1
train142,0,4
train143,0,3
train144,-1,2
train145,1,1
train146,0,4
train147,0,3
train148,0,3
train149,0,3
train150,1,1
train151,-1,2
train152,0,3
train153,0,3
train154,0,3
train155,0,4
train156,1,1
train157,0,4
train158,1,1
train159,0,4
train160,-1,2
train161,-1,2
train162,0,4
train163,0,3
train164,1,1
train165,0,3
train166,0,4
train167,-1,2
train168,1,1
train169,0,4
train170,0,3
train171,0,4
train172,0,4
train173,-1,2
train174,-1,2
train175,0,3
train176,0,3
train177,0,3
train178,1,1
train179,0,4
train180,0,3
train181,-1,2
train182,-1,2
train183,-1,2
train184,1,1
train185,-1,2
train186,1,1
train187,0,4
train188,0,3
train189,1,1
train190,1,1
train191,1,1
train192,-1,2
train193,0,3
train194,0,3
train195,0,4
train196,0,3
train197,1,1
train198,0,4
train199,-1,2
train200,1,1
train201,0,3
train202,0,4
train203,0,4
train204,1,1
train205,-1,2
train206,1,1
train207,0,4
train208,1,1
train209,1,1
train210,0,3
train211,-1,2
train212,0,4
train213,-1,2
train214,0,3
train215,0,4
train216,0,4
train217,-1,2
train218,1,1
train219,1,1
train220,0,3
train221,-1,2
train222,-1,2
train223,0,3
train224,-1,2
train225,-1,2
train226,1,1
train227,1,1
train228,0,3
train229,0,4
train230,0,3
train231,-1,2
train232,0,4
train233,-1,2
train234,0,4
train235,1,1
train236,1,1
train237,0,4
train238,0,3
train239,1,1
train240,1,1
train241,0,3
train242,1,1
train243,0,3
train244,1,1
train245,0,4
train246,1,1
train247,0,3
train248,0,3
train249,-1,2
train250,0,4
train251,-1,2
train252,-1,2
train253,-1,2
train254,1,1
train255,1,1
train256,0,3
train257,1,1
train258,0,4
train259,0,3
train260,0,3
train261,0,4
train262,1,1
train263,1,1
train264,0,3
train265,-1,2
train266,-1,2
train267,0,3
train268,1,1
train269,1,1
train270,1,1
train271,-1,2
train272,1,1
train273,1,1
train274,-1,2
train275,-1,2
train276,0,4
train277,-1,2
train278,-1,2
train279,1,1
train280,1,1
train281,-1,2
train282,0,3
train283,0,4
train284,0,3
train285,0,3
train286,-1,2
train287,1,1
train288,0,3
train289,-1,2
train290,-1,2
train291,1,1
train292,0,3
train293,0,3
train294,-1,2
train295,1,1
train296,-1,2
train297,0,3
train298,-1,2
train299,0,3
train300,0,3
train301,0,3
train302,1,1
train303,0,3
train304,0,4
train305,-1,2
train306,0,4
train307,1,1
train308,0,4
train309,0,3
train310,0,4
train311,1,1
train312,0,4
train313,0,4
train314,0,4
train315,0,3
train316,-1,2
train317,-1,2
train318,0,4
train319,-1,2
train320,-1,2
train321,0,4
train322,-1,2
train323,0,3
train324,1,1
train325,0,4
train326,0,3
train327,1,1
train328,1,1
train329,0,3
train330,0,4
train331,0,3
train332,0,3
train333,1,1
train334,0,4
train335,0,4
train336,-1,2
train337,0,4
train338,0,3
train339,-1,2
train340,0,4
train341,1,1
train342,1,1
train343,0,3
train344,0,4
train345,0,3
train346,-1,2
train347,-1,2
train348,0,4
train349,0,3
train350,1,1
train351,-1,2
train352,0,3
train353,0,4
train354,0,4
train355,1,1
train356,-1,2
train357,1,1
train358,0,3
train359,1,1
train360,1,1
train361,0,4
train362,-1,2
train363,0,4
train364,0,3
train365,0,3
train366,0,3
train367,1,1
train368,0,4
train369,0,4
train370,0,3
train371,0,4
train372,0,3
train373,-1,2
train374,-1,2
train375,1,1
train376,1,1
train377,-1,2
train378,0,3
train379,-1,2
train380,0,3
train381,0,4
train382,0,4
train383,0,4
train384,1,1
train385,0,3
train386,-1,2
train387,0,3
train388,1,1
train389,0,3
train390,-1,2
train391,1,1
train392,0,4
train393,-1,2
train394,0,4
train395,0,3
train396,0,4
train397,0,3
train398,1,1
train399,-1,2
train400,1,1
train401,0,3
train402,-1,2
train403,1,1
train404,0,4
train405,-1,2
train406,0,3
train407,0,3
train408,0,3
train409,1,1
train410,-1,2
train411,-1,2
train412,-1,2
train413,1,1
train414,1,1
train415,1,1
train416,0,3
train417,-1,2
train418,0,3
train419,-1,2
train420,0,3
train421,0,3
train422,0,4
train423,1,1
train424,1,1
train425,0,3
train426,1,1
train427,0,3
train428,0,4
train429,0,3
train430,0,4
train431,1,1
train432,0,4
train433,-1,2
train434,-1,2
train435,-1,2
train436,0,4
train437,0,3
train438,-1,2
train439,1,1
train440,0,3
train441,-1,2
train442,-1,2
train443,0,4
train444,1,1
train445,-1,2
train446,0,4
train447,-1,2
train448,1,1
train449,0,3
train450,1,1
train451,0,4
train452,0,4
train453,1,1
train454,1,1
train455,0,3
train456,1,1
train457,1,1
train458,0,4
train459,0,3
train460,0,3
train461,-1,2
train462,0,4
train463,-1,2
train464,-1,2
train465,1,1
train466,-1,2
train467,0,3
train468,0,3
train469,0,3
train470,-1,2
train471,-1,2
train472,0,3
train473,0,3
train474,0,4
train475,0,3
train476,0,3
train477,0,4
train478,1,1
train479,0,3
train480,-1,2
train481,0,4
train482,0,3
train483,0,3
train484,1,1
train485,-1,2
train486,0,3
train487,1,1
train488,-1,2
train489,-1,2
train490,0,4
train491,-1,2
train492,0,4
train493,1,1
train494,0,4
train495,-1,2
train496,1,1
train497,-1,2
train498,-1,2
train499,0,4
train500,1,1
train501,-1,2
train502,0,4
train503,0,3
train504,0,3
train505,1,1
train506,0,4
train507,1,1
train508,0,4
train509,-1,2
train510,0,3
train511,0,3
train512,0,4
train513,0,4
train514,0,4
train515,0,4
train516,0,4
train517,1,1
train518,-1,2
train519,-1,2
train520,0,3
train521,1,1
train522,0,3
train523,0,4
train524,1,1
train525,-1,2
train526,1,1
train527,-1,2
train528,0,3
train529,0,3
train530,0,3
train531,1,1
train532,1,1
train533,1,1
train534,-1,2
train535,0,4
train536,-1,2
train537,1,1
train538,1,1
train539,1,1
train540,0,4
train541,-1,2
train542,-1,2
train543,0,4
train544,0,3
train545,0,3
train546,-1,2
train547,-1,2
train548,0,4
train549,-1,2
train550,1,1
train551,0,3
train552,0,3
train553,-1,2
train554,-1,2
train555,-1,2
train556,0,3
train557,0,3
train558,0,3
train559,-1,2
train560,0,3
train561,0,4
train562,1,1
train563,-1,2
train564,-1,2
train565,0,3
train566,1,1
train567,0,4
train568,-1,2
train569,-1,2
train570,0,4
train571,0,4
train572,0,4
train573,0,4
train574,0,4
train575,0,3
train576,0,4
train577,-1,2
train578,-1,2
train579,0,4
train580,0,4
train581,1,1
train582,1,1
train583,0,3
train584,0,4
train585,0,3
train586,1,1
train587,0,3
train588,-1,2
train589,1,1
train590,1,1
train591,-1,2
train592,-1,2
train593,1,1
train594,0,4
train595,0,3
train596,0,4
train597,-1,2
train598,-1,2
train599,0,4
train600,1,1
train601,0,4
train602,0,4
train603,0,4
train604,0,3
train605,-1,2
train606,-1,2
train607,-1,2
train608,1,1
train609,-1,2
train610,-1,2
train611,0,3
train612,-1,2
train613,1,1
train614,0,4
train615,0,3
train616,0,3
train617,-1,2
train618,0,3
train619,-1,2
train620,-1,2
train621,1,1
train622,-1,2
train623,0,4
train624,0,4
train625,1,1
train626,0,3
train627,1,1
train628,0,4
train629,0,4
train630,0,3
train631,0,3
train632,1,1
train633,1,1
train634,0,4
train635,-1,2
train636,-1,2
train637,1,1
train638,1,1
train639,1,1
train640,-1,2
train641,0,3
train642,0,3
train643,0,3
train644,-1,2
train645,-1,2
train646,1,1
train647,0,4
train648,0,3
train649,0,3
train650,-1,2
train651,0,4
train652,-1,2
train653,0,4
train654,-1,2
train655,1,1
train656,0,4
train657,1,1
train658,0,4
train659,0,3
train660,0,3
train661,0,4
train662,1,1
train663,0,3
train664,-1,2
train665,1,1
train666,1,1
train667,0,4
train668,-1,2
train669,1,1
train670,1,1
train671,1,1
train672,1,1
train673,-1,2
train674,0,4
train675,1,1
train676,0,3
train677,0,4
train678,0,3
train679,0,3
train680,0,4
train681,0,3
train682,0,4
train683,-1,2
train684,1,1
train685,0,4
train686,1,1
train687,0,4
train688,-1,2
train689,1,1
train690,0,3
train691,0,3
train692,-1,2
train693,0,3
train694,0,3
train695,0,3
train696,0,3
train697,0,3
train698,0,3
train699,1,1
train700,0,4
train701,1,1
train702,-1,2
train703,0,3
train704,0,3
train705,1,1
train706,1,1
train707,-1,2
train708,0,4
train709,0,4
train710,0,4
train711,1,1
train712,-1,2
train713,0,3
train714,0,3
train715,0,4
train716,0,3
train717,1,1
train718,1,1
train719,0,4
train720,0,3
train721,0,3
train722,0,3
train723,-1,2
train724,0,4
train725,0,3
train726,0,4
train727,-1,2
train728,0,3
train729,0,4
train730,0,4
train731,0,3
train732,0,3
train733,1,1
train734,-1,2
train735,0,4
train736,-1,2
train737,0,3
train738,1,1
train739,0,4
train740,1,1
train741,-1,2
train742,0,3
train743,1,1
train744,-1,2
train745,0,3
train746,0,3
train747,0,4
train748,-1,2
train749,0,4
train750,0,3
train751,0,3
train752,0,3
train753,0,4
train754,-1,2
train755,0,3
train756,1,1
train757,0,4
train758,0,3
train759,0,4
train760,0,3
train761,-1,2
train762,1,1
train763,1,1
train764,1,1
train765,0,3
train766,1,1
train767,-1,2
train768,0,4
train769,0,4
train770,-1,2
train771,0,4
train772,1,1
train773,1,1
train774,0,3
train775,-1,2
train776,0,4
train777,1,1
train778,1,1
train779,-1,2
train780,1,1
train781,1,1
train782,0,3
train783,0,3
train784,0,4
train785,-1,2
train786,1,1
train787,1,1
train788,0,4
train789,1,1
train790,1,1
train791,1,1
train792,0,3
train793,-1,2
train794,0,3
train795,-1,2
train796,-1,2
train797,1,1
train798,-1,2
train799,0,4
train800,1,1
train801,0,4
train802,0,4
train803,-1,2
train804,1,1
train805,0,3
train806,1,1
train807,1,1
train808,-1,2
train809,0,3
train810,0,4
train811,0,3
train812,-1,2
train813,1,1
train814,0,4
train815,-1,2
train816,0,4
train817,0,4
train818,1,1
train819,-1,2
train820,1,1
train821,0,3
train822,0,4
train823,-1,2
train824,0,4
train825,0,3
train826,-1,2
train827,0,3
train828,0,3
train829,-1,2
train830,0,4
train831,1,1
train832,1,1
train833,1,1
train834,0,4
train835,0,3
train836,1,1
train837,0,3
train838,-1,2
train839,0,4
train840,0,3
train841,0,4
train842,1,1
train843,0,4
train844,1,1
train845,1,1
train846,0,4
train847,0,4
train848,0,4
train849,1,1
train850,-1,2
train851,1,1
train852,1,1
train853,0,3
train854,0,4
train855,0,3
train856,-1,2
train857,0,4
train858,0,4
train859,0,3
train860,-1,2
train861,-1,2
train862,-1,2
train863,0,4
train864,0,3
train865,0,4
train866,0,4
train867,1,1
train868,0,4
train869,1,1
train870,0,3
train871,0,3
train872,0,4
train873,1,1
train874,0,3
train875,0,4
train876,0,4
train877,1,1
train878,0,3
train879,1,1
train880,1,1
train881,1,1
train882,-1,2
train883,1,1
train884,0,3
train885,0,4
train886,-1,2
train887,0,4
train888,1,1
train889,1,1
train890,0,3
train891,-1,2
train892,0,4
train893,-1,2
train894,0,4
train895,-1,2
train896,0,3
train897,1,1
train898,0,3
train899,0,3
train900,0,4
train901,0,3
train902,1,1
train903,1,1
train904,0,4
train905,1,1
train906,0,4
train907,0,3
train908,-1,2
train909,0,3
train910,1,1
train911,0,4
train912,-1,2
train913,0,4
train914,1,1
train915,0,3
train916,1,1
train917,0,4
train918,-1,2
train919,-1,2
train920,1,1
train921,-1,2
train922,0,3
train923,-1,2
train924,1,1
train925,0,3
train926,-1,2
train927,1,1
train928,1,1
train929,0,3
train930,0,4
train931,0,4
train932,1,1
train933,0,3
train934,0,4
train935,0,4
train936,0,3
train937,0,4
train938,1,1
train939,0,3
train940,0,4
train941,0,4
train942,1,1
train943,-1,2
train944,-1,2
train945,0,4
train946,0,3
train947,-1,2
train948,1,1
train949,-1,2
train950,1,1
train951,1,1
train952,1,1
train953,0,3
train954,-1,2
train955,0,4
train956,0,4
train957,0,4
train958,0,3
train959,1,1
train960,1,1
train961,0,3
train962,0,4
train963,0,4
train964,0,4
train965,-1,2
train966,1,1
train967,1,1
train968,-1,2
train969,1,1
train970,1,1
train971,1,1
train972,-1,2
train973,1,1
train974,0,3
train975,-1,2
train976,-1,2
train977,1,1
train978,0,3
train979,0,4
train980,0,4
train981,-1,2
train982,0,4
train983,1,1
train984,0,3
train985,0,3
train986,-1,2
