SampleID,A type,B type
train1,Binary,Numerical
train2,Numerical,Numerical
train3,Numerical,Numerical
train4,Numerical,Categorical
train5,Numerical,Binary
train6,Numerical,Numerical
train7,Numerical,Numerical
train8,Numerical,Categorical
train9,Numerical,Numerical
train10,Categorical,Numerical
train11,Categorical,Numerical
train12,Numerical,Numerical
train13,Binary,Numerical
train14,Numerical,Numerical
train15,Numerical,Numerical
train16,Binary,Numerical
train17,Binary,Numerical
train18,Binary,Binary
train19,Numerical,Binary
train20,Binary,Binary
train21,Numerical,Categorical
train22,Numerical,Numerical
train23,Binary,Numerical
train24,Categorical,Numerical
train25,Numerical,Numerical
train26,Numerical,Numerical
train27,Numerical,Numerical
train28,Numerical,Numerical
train29,Numerical,Numerical
train30,Numerical,Numerical
train31,Categorical,Numerical
train32,Numerical,Numerical
train33,Binary,Binary
train34,Numerical,Binary
train35,Numerical,Numerical
train36,Numerical,Numerical
train37,Numerical,Numerical
train38,Numerical,Numerical
train39,Numerical,Numerical
train40,Numerical,Numerical
train41,Numerical,Numerical
train42,Numerical,Numerical
train43,Numerical,Numerical
train44,Numerical,Numerical
train45,Numerical,Numerical
train46,Numerical,Numerical
train47,Binary,Categorical
train48,Binary,Binary
train49,Numerical,Categorical
train50,Binary,Binary
train51,Numerical,Categorical
train52,Numerical,Numerical
train53,Numerical,Numerical
train54,Numerical,Numerical
train55,Binary,Categorical
train56,Numerical,Binary
train57,Numerical,Numerical
train58,Numerical,Binary
train59,Numerical,Numerical
train60,Numerical,Numerical
train61,Numerical,Numerical
train62,Numerical,Numerical
train63,Numerical,Numerical
train64,Numerical,Numerical
train65,Categorical,Binary
train66,Numerical,Binary
train67,Numerical,Categorical
train68,Categorical,Numerical
train69,Numerical,Categorical
train70,Numerical,Categorical
train71,Numerical,Numerical
train72,Categorical,Numerical
train73,Numerical,Numerical
train74,Binary,Numerical
train75,Numerical,Numerical
train76,Numerical,Numerical
train77,Numerical,Numerical
train78,Categorical,Numerical
train79,Numerical,Binary
train80,Categorical,Binary
train81,Numerical,Categorical
train82,Numerical,Binary
train83,Categorical,Numerical
train84,Binary,Numerical
train85,Numerical,Categorical
train86,Categorical,Numerical
train87,Numerical,Numerical
train88,Numerical,Numerical
train89,Binary,Numerical
train90,Binary,Numerical
train91,Numerical,Numerical
train92,Binary,Numerical
train93,Numerical,Numerical
train94,Categorical,Categorical
train95,Binary,Categorical
train96,Numerical,Numerical
train97,Numerical,Numerical
train98,Numerical,Numerical
train99,Binary,Categorical
train100,Numerical,Numerical
train101,Numerical,Numerical
train102,Numerical,Numerical
train103,Numerical,Numerical
train104,Categorical,Binary
train105,Numerical,Numerical
train106,Numerical,Numerical
train107,Binary,Numerical
train108,Numerical,Numerical
train109,Numerical,Numerical
train110,Numerical,Numerical
train111,Categorical,Binary
train112,Numerical,Numerical
train113,Numerical,Numerical
train114,Numerical,Categorical
train115,Binary,Numerical
train116,Numerical,Numerical
train117,Numerical,Numerical
train118,Numerical,Categorical
train119,Numerical,Binary
train120,Numerical,Numerical
train121,Binary,Binary
train122,Numerical,Numerical
train123,Numerical,Numerical
train124,Binary,Numerical
train125,Categorical,Numerical
train126,Numerical,Binary
train127,Numerical,Numerical
