SampleID,Target [1 for A->B; -1 for B->A and 0otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train1,0,3
train2,0,3
train3,1,1
train4,0,4
train5,1,1
train6,1,1
train7,1,1
train8,1,1
train9,0,3
train10,1,1
train11,-1,2
train12,1,1
train13,1,1
train14,0,3
train15,0,4
train16,0,4
train17,0,4
train18,0,3
train19,0,3
train20,-1,2
train21,0,4
train22,-1,2
train23,0,4
train24,-1,2
train25,0,4
train26,1,1
train27,-1,2
train28,0,4
train29,-1,2
train30,0,3
train31,-1,2
train32,-1,2
train33,0,3
train34,1,1
train35,0,4
train36,0,4
train37,0,4
train38,1,1
train39,1,1
train40,-1,2
train41,1,1
train42,0,4
train43,0,4
train44,1,1
train45,-1,2
train46,-1,2
train47,0,4
train48,0,4
train49,0,4
train50,1,1
train51,0,3
train52,-1,2
train53,0,4
train54,1,1
train55,0,4
train56,1,1
train57,-1,2
train58,0,4
train59,0,4
train60,-1,2
train61,-1,2
train62,0,4
train63,0,3
train64,0,3
train65,0,3
train66,1,1
train67,-1,2
train68,1,1
train69,0,3
train70,-1,2
train71,1,1
train72,0,4
train73,-1,2
train74,1,1
train75,-1,2
train76,-1,2
train77,0,3
train78,0,3
train79,1,1
train80,0,3
train81,1,1
train82,1,1
train83,-1,2
train84,-1,2
train85,0,3
train86,-1,2
train87,0,4
train88,1,1
train89,0,3
train90,-1,2
train91,0,3
train92,-1,2
train93,0,3
train94,-1,2
train95,0,4
train96,0,4
train97,0,3
train98,0,4
train99,0,3
train100,0,3
train101,0,3
train102,-1,2
train103,0,3
train104,-1,2
train105,0,4
train106,1,1
train107,0,3
train108,0,3
train109,0,4
train110,0,3
train111,0,3
train112,0,3
train113,1,1
train114,0,3
train115,1,1
train116,1,1
train117,0,3
train118,1,1
train119,1,1
train120,-1,2
train121,0,4
train122,0,4
train123,0,3
train124,1,1
train125,-1,2
train126,0,3
train127,1,1
train128,-1,2
train129,1,1
train130,0,3
train131,0,4
train132,1,1
train133,-1,2
train134,0,3
train135,1,1
train136,0,3
train137,0,4
train138,-1,2
train139,0,4
train140,0,3
train141,1,1
train142,0,4
train143,0,3
train144,0,4
train145,-1,2
train146,-1,2
train147,1,1
train148,0,3
train149,-1,2
train150,1,1
train151,0,4
train152,1,1
train153,1,1
train154,-1,2
train155,0,4
train156,-1,2
train157,0,4
train158,0,3
train159,1,1
train160,0,4
train161,-1,2
train162,0,4
